revenue	emission	employee_count	sector	country
2264.6200457515924	38247411.584986694	1721	energy	CountryA
4289.369884765626	55015178.51140572	3850	energy	CountryB
3677.9485055156365	37318582.50745533	1456	energy	CountryB
3710.8967322913045	47688472.05816038	1039	energy	CountryC
5326.161066496587	27410594.81320568	949	energy	CountryB
3417.2330927823105	45828071.09614952	123	energy	CountryB
5378.699113565018	27848235.328825682	3607	energy	CountryB
2673.315814864695	59236686.51012677	264	energy	CountryC
7821.889489677305	92418939.40602398	3852	energy	CountryC
1813.524459709975	30449952.59513609	851	energy	CountryB
3177.986198137969	39784706.04142477	1243	energy	CountryC
7157.625360754887	43070256.76391415	1979	energy	CountryB
7445.410315725498	71556954.9015774	3400	energy	CountryB
7501.930618512232	124473831.81623018	2902	energy	CountryA
3026.1670528789273	77248034.7137942	1067	energy	CountryC
7075.3674118829085	71958021.88586178	2765	energy	CountryA
7171.954862316238	25615545.395573698	1992	energy	CountryB
2074.9449688238706	36460622.11280405	610	energy	CountryB
6256.345759609268	60823166.674479455	1569	energy	CountryB
2948.1350020678838	20950951.503066074	675	energy	CountryB
1569.951590370505	33680885.21535878	485	energy	CountryA
2350.899878752928	29996504.601440944	365	energy	CountryA
5934.005882784722	65353961.15040924	2471	energy	CountryA
5690.33026103395	46713803.370013535	1668	energy	CountryB
818.4036484518806	46007498.24595998	121	energy	CountryB
2370.7866449092453	31922760.760302067	937	energy	CountryB
4146.209330061492	43662190.04838706	246	energy	CountryA
2981.1661243105427	18159123.10111767	2842	energy	CountryA
7912.6411960192	52464632.5403261	2254	energy	CountryC
1596.6506109165132	35103695.373934604	486	energy	CountryB
8992.000472245427	108338948.35495175	4277	energy	CountryB
2528.867526780673	40445773.559083074	1165	energy	CountryA
255.53784581868558	31501345.929741807	95	energy	CountryA
7058.545638631273	25724801.327314273	4147	energy	CountryB
455.3283740260954	16931513.393481143	77	energy	CountryC
3569.1371260009287	62586124.2775508	1792	energy	CountryB
4707.892328480952	78217075.85630038	1569	energy	CountryB
1131.1276080823181	45328949.80048238	312	energy	CountryB
2763.2239811764	38610566.396734715	1701	energy	CountryB
1525.5457398016563	42724054.037037365	110	energy	CountryA
2943.2989245640583	47200609.75400539	78	energy	CountryA
3913.8674044834597	40252176.0674312	1862	energy	CountryB
2120.5553816078705	37241191.83465173	534	energy	CountryB
2680.1306049855752	41053069.69815034	541	energy	CountryB
2075.907059775498	14995665.86348407	337	energy	CountryB
3807.799769095993	37287054.80421513	94	energy	CountryB
361.86723366866545	29674679.137138978	189	energy	CountryB
3326.252823747609	72576548.93364926	719	energy	CountryB
4327.242458363173	58335700.58657552	2126	energy	CountryA
7482.255678265276	84237646.58105041	2557	energy	CountryC
1876.1075797663825	65884971.978015736	534	energy	CountryB
1587.3047272081828	29508555.897276968	285	energy	CountryB
2503.030077987241	34654340.04442715	1028	energy	CountryC
7102.64898961367	57211283.01247966	3860	energy	CountryB
1921.1648603897193	27203033.441194993	654	energy	CountryA
5578.015751464763	51428910.795917004	2350	energy	CountryA
3714.8228056467797	53035865.54442548	2075	energy	CountryA
1619.4723526481484	43145405.24398389	723	energy	CountryC
701.8372157946787	26201326.814805903	0	energy	CountryA
4531.866984970932	72308978.64895473	96	energy	CountryA
2197.2575544351316	21804752.897301137	1523	energy	CountryA
4233.877968825661	74328488.24002925	780	energy	CountryC
4081.782498232687	64685047.45253593	108	energy	CountryB
5063.855117271463	41258577.08985136	1907	energy	CountryA
1751.0063034010466	41320341.22738478	801	energy	CountryC
2471.6250429713255	40188357.82576448	360	energy	CountryB
4837.5534869262465	89576298.45139845	1468	energy	CountryB
